
URL: http://www.recordonline.com/archive/2004/03/15/jgpensio.htm
 
&nbsp;&nbsp;&nbsp;Jail term doesn't stop employee benefits 
<p>&nbsp;&nbsp;&nbsp;Pension experts argue pensions are "earned" benefits, meaning they shouldn't be rolled in as part of any sort of punishment. 

<p>&nbsp;&nbsp;&nbsp;Changes to the state law that grants pensions to those convicted of crimes, most often involving official misconduct, have been proposed in the past, only to fall flat. But some New York city and state lawmakers are hoping to breath life into the issue again. In the past, Governor George Pataki voiced support for the idea, as did several other officials. 

<p>&nbsp;&nbsp;&nbsp;Assemblywoman Nancy Calhoun said she'd consider a change to the law that hands out pensions to convicted criminals, but voiced reservations about the consequences of such a law. 

<p>&nbsp;&nbsp;&nbsp;"You're taking away the security of the families as well," Calhoun said. "It would have to be looked at very carefully." 

<p>&nbsp;&nbsp;&nbsp;Edward Farrell, the executive director of the New York State Conference of Mayors, said, "Conceptually, it's something we would likely support, but we'd have to look at how it would apply." 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Crime on the job 

<p>&nbsp;&nbsp;&nbsp;  Robert Sigler 

<p>&nbsp;&nbsp;&nbsp;Former Middletown School District superintendent 

<p>&nbsp;&nbsp;&nbsp;Crime: sodomized a male teenage student with whom he had a long-standing relationship 

<p>&nbsp;&nbsp;&nbsp;Status: serving a 1ª- to five-year prison sentence at Oneida Correctional Facility in Rome, N.Y.; eligible for parole in September 

<p>&nbsp;&nbsp;&nbsp;Pension: likely to exceed $21,000 annually on retirement 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Edward Pilus 

<p>&nbsp;&nbsp;&nbsp;Former New York State police investigator 

<p>&nbsp;&nbsp;&nbsp;Crime: convicted in Rockland County of faking a fingerprint and perjury; pleaded guilty in Orange County to faking a fingerprint 

<p>&nbsp;&nbsp;&nbsp;Status: released from Fishkill Correctional Facility in 1997 after serving almost two years 

<p>&nbsp;&nbsp;&nbsp;Pension: eligible for retirement benefits in October, a month after his 55th birthday 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Patricia Weed 

<p>&nbsp;&nbsp;&nbsp;Former Port Jervis Common Council member and DMV employee 

<p>&nbsp;&nbsp;&nbsp;Crime: skimmed car sales tax money from the Port Jervis office of the Department of Motor Vehicles while working there 

<p>&nbsp;&nbsp;&nbsp;Status: admitted to tampering with public records in 1988 (retired from DMV; resigned from council); completed five years of probation and served six weekends at the Orange County Jail (later commuted to her home in Port Jervis) 

<p>&nbsp;&nbsp;&nbsp;Pension: $9,952.68 annually 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Warren Wagner 

<p>&nbsp;&nbsp;&nbsp;Former Middletown police detective 

<p>&nbsp;&nbsp;&nbsp;Crime: took $20,000 in evidence money from the police department 

<p>&nbsp;&nbsp;&nbsp;Status: completed sentence of more than a year in federal prison in 2002 

<p>&nbsp;&nbsp;&nbsp;Pension: eligible for retirement benefits a month after his 55th birthday 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  John Thompson 

<p>&nbsp;&nbsp;&nbsp;Former Orange County undersheriff, current sergeant 

<p>&nbsp;&nbsp;&nbsp;Accused of: orchestrating a plot to get Bigger on the Independence Party line by using forged petitions (could face prison time if convicted) 

<p>&nbsp;&nbsp;&nbsp;Status: charges pending in Orange County Court 

<p>&nbsp;&nbsp;&nbsp;Pension: if he completes one more year of service, he'll receive a full retirement allowance an estimated $29,000 annually, one half of his current $58,000 salary 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;No criminal charges (on the job misconduct) 

<p>&nbsp;&nbsp;&nbsp;  Michael Bunce 

<p>&nbsp;&nbsp;&nbsp;Former Monticello police sergeant 

<p>&nbsp;&nbsp;&nbsp;Offense: ran a side businesses serving legal papers for private lawyers, while on duty using public equipment 

<p>&nbsp;&nbsp;&nbsp;Status: retired Nov. 1, 2002 to avoid criminal prosecution 

<p>&nbsp;&nbsp;&nbsp;Pension: $30,315.14 annually 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Michael Brennan 

<p>&nbsp;&nbsp;&nbsp;Former Monticello police chief 

<p>&nbsp;&nbsp;&nbsp;Offense: ran a side businesses serving legal papers for private lawyers, while on duty using public equipment 

<p>&nbsp;&nbsp;&nbsp;Status: retired Nov. 1, 2002 to avoid criminal prosecution 

<p>&nbsp;&nbsp;&nbsp;Pension: $35,190.02 annually 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Seth Chase 

<p>&nbsp;&nbsp;&nbsp;Former Golden Hill Elementary School teacher 

<p>&nbsp;&nbsp;&nbsp;Offense: violated state education law by pinching and touching several 6th grade boys 

<p>&nbsp;&nbsp;&nbsp;Status: suspended with pay in 1992; fired in 1993 

<p>&nbsp;&nbsp;&nbsp;Pension: $21,433.08 annually 

<p> &nbsp;&nbsp;&nbsp; 

<p> &nbsp;&nbsp;&nbsp;  James Coscette 

<p>&nbsp;&nbsp;&nbsp;Former Town of Wallkill police chief 

<p>&nbsp;&nbsp;&nbsp;Offense: Civil Service hearing officer found him guilty of misconduct and incompetence 

<p>&nbsp;&nbsp;&nbsp;Status: Fired December 2001; granted a new Civil Service hearing in January (hopes to get his job back) 

<p>&nbsp;&nbsp;&nbsp;Pension: eligible for retirement benefits a month after his 55th birthday 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;Crime committed outside of work 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Geoffrey Cabrera 

<p>&nbsp;&nbsp;&nbsp;Former New York State police investigator 

<p>&nbsp;&nbsp;&nbsp;Crime: forged access cards that allowed satellite TV users to get channels without paying for them 

<p>&nbsp;&nbsp;&nbsp;Status: Still on probation after pleading guilty in December 2002 to three felonies 

<p>&nbsp;&nbsp;&nbsp;Pension: $37,534.96 annually 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Gary Pengel 

<p>&nbsp;&nbsp;&nbsp;Former Middletown police Officer 

<p>&nbsp;&nbsp;&nbsp;Crime: admitted to molesting a girl younger than 14 in 1998 

<p>&nbsp;&nbsp;&nbsp;Status: serving a 4- to 12-year prison sentence at Collins Correctional Facility in Collins, N.Y.; denied parole in 2002; next parole hearing in September (will be a registered sex offender upon release) 

<p>&nbsp;&nbsp;&nbsp;Pension: $23,109.18 annually 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;  Carl Colberg 

<p>&nbsp;&nbsp;&nbsp;Retired New York State police commander 

<p>&nbsp;&nbsp;&nbsp;Crime: Eight years after his retirement from state police, Colberg shot and killed his son, Christopher, 37, who was high on drugs and alcohol when he tried to attack Colberg and his wife 

<p>&nbsp;&nbsp;&nbsp;Status: still on probation after pleading guilty December 1999 to felony criminally negligent homicide 

<p>
